#Serial	Status
120	WP_151142946.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008830185.1
121	WP_090162090.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_945828025.1
122	WP_008395116.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020736365.1
123	WP_246599136.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_019754295.1
124	WP_274952664.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_944385225.1
125	WP_262096330.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025446935.1
126	WP_009526431.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000238115.1
127	WP_072991495.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900141845.1
128	WP_237966572.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022133645.1
129	WP_199825326.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902375625.1
130	WP_215756544.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018790995.1
131	WP_088109653.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002161055.1
132	WP_287777058.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022783245.1
133	WP_161636936.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016617625.1
134	WP_186969066.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014288055.1
135	WP_246462629.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017161305.1
136	WP_006597928.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000185505.1
137	WP_004075326.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_010208005.1
138	WP_283682651.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_951230155.1
139	WP_243873694.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_958348175.1
140	WP_036089558.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001050305.1
141	WP_075671842.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001940245.1
142	WP_091757063.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900103635.1
143	WP_003147803.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012273215.1
144	WP_288866699.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_947252985.1
145	WP_009644068.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_963544705.1
146	WP_083377371.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900104645.1
147	WP_226384608.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014982745.1
148	WP_239256881.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_913566895.1
149	WP_006590792.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000298215.1
150	WP_227621486.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020687345.1
151	WP_287882951.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024690545.1
152	WP_270368336.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027667005.1
153	WP_238014864.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022132665.1
154	WP_269185466.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026967925.1
155	WP_061225149.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001570865.1
156	WP_208963719.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017656075.1
157	WP_056996560.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001435975.1
158	WP_024747486.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003046095.1
159	WP_225426205.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006228265.1
160	WP_225350017.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026410225.1
161	WP_024971414.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000604365.1
162	WP_082620538.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001436555.1
163	WP_242871932.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900119155.1
164	WP_117834666.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003460315.1
165	WP_216459701.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018919065.1
166	WP_009002034.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000190355.1
167	WP_059070334.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025567175.1
168	WP_242939766.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001940225.1
169	WP_025491176.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027680505.1
170	WP_276989172.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028722845.1
171	WP_173552971.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_902792045.1
172	WP_074624343.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900103115.1
173	WP_251547697.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_943192935.1
174	WP_244569119.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002797875.1
175	WP_062411613.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020561775.1
176	WP_075572802.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_905213095.1
177	WP_062708044.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001598035.1
178	WP_288977052.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_938039385.1
179	WP_086107199.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002127665.1
180	WP_242935049.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900116785.1
181	WP_201427582.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016680995.1
182	WP_277682706.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029227675.1
183	WP_276962410.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029006835.1
184	WP_235815004.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001457795.1
185	WP_118507861.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003478335.1
186	WP_027296015.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000686105.1
187	WP_044971499.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027682485.1
188	WP_016323285.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000403435.2
189	WP_273392962.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_934879945.1
190	WP_277255248.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_944386465.1
191	WP_118348380.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003458885.1
192	WP_215703155.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018785365.1
193	WP_216436165.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018918155.1
194	WP_231935361.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017584925.1
195	WP_150332876.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008693925.1
196	WP_129065100.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004117835.1
197	WP_052127239.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000775615.1
198	WP_074036489.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001909285.1
199	WP_017144049.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027695165.1
200	WP_002703980.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000255555.1
201	WP_086349984.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002140975.1
202	WP_092367973.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_031293285.1
203	WP_148463591.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900066945.1
204	WP_205149971.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016900155.1
205	WP_077609847.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900155545.1
206	WP_092454252.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900111235.1
207	WP_153496581.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009601015.1
208	WP_276683111.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_905200705.1
209	WP_039689758.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000814825.1
210	WP_165062475.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_011039075.1
211	WP_242870405.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900103015.1
212	WP_275471303.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029143285.1
213	WP_113849203.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003320875.1
214	WP_056961597.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001436645.1
215	WP_131090772.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_031853905.1
216	WP_185847383.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003987635.1
217	WP_144973283.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_007829715.1
218	WP_098772232.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002575715.1
219	WP_259691644.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025129295.1
220	WP_042535431.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030372125.1
221	WP_288665833.1 Failed :  No record for accession WP_288665833.1
222	WP_099301299.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024362765.1
223	WP_166010027.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_011304355.1
224	WP_061751580.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900025095.1
225	WP_281063660.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012219925.1
226	WP_023388135.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000495435.3
227	WP_134700474.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004522215.1
228	WP_283408293.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900182905.1
229	WP_267151299.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026410385.1
230	WP_112788159.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_905071805.1
231	WP_253287641.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018918145.1
232	WP_058486220.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001466305.1
233	WP_058257941.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900070325.1
234	WP_027871028.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000621585.1
235	WP_068912482.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001693775.2
236	WP_250673363.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030815085.1
237	WP_028830310.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000423525.1
238	WP_026394575.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014284495.1
239	WP_090306992.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028708665.1
240	WP_237658943.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025595015.1
241	WP_115984444.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900637055.1
242	WP_257480820.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900549875.1
243	WP_109689836.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003148565.1
244	WP_139488102.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_006170445.1
245	WP_081742365.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000524335.1
246	WP_090845919.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900101655.1
247	WP_287537900.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018377015.1
248	WP_288875892.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_947072985.1
249	WP_075819734.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_949063815.1
250	WP_216412513.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018917895.1
251	WP_168676486.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012396155.1
252	WP_270779142.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027695425.1
253	WP_278633141.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_958443215.1
254	WP_195769285.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_015627165.1
255	WP_242620150.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900683425.1
256	WP_058972177.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001500155.2
257	WP_278935898.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_934833125.1
258	WP_058952521.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_013420445.1
259	WP_003593219.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000271785.1
260	WP_156332548.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001295845.1
261	WP_208312099.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_017589465.1
262	WP_251107343.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023702305.1
263	WP_091774502.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900100565.1
264	WP_008927333.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000300995.1
265	WP_267483805.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_020880755.1
266	WP_092714934.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_900103595.1
267	WP_130961431.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004309865.1
268	WP_257873385.1 Failed :  No record for accession WP_257873385.1
269	WP_114743552.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003347775.1
270	WP_158525968.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002759255.2
271	WP_279935668.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_029837545.1
272	WP_274704429.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_026241755.1
273	WP_052959397.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012986485.1
274	WP_248225069.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_023152475.1
275	WP_097741997.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002541385.1
276	WP_015063448.1 Failed :  No record for accession WP_015063448.1
277	WP_148531445.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008083975.1
278	WP_014551819.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000210155.1
279	WP_027328748.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000423345.1
280	WP_190934413.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014698055.1
281	WP_200404004.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016604485.1
282	WP_081088116.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001542045.1
283	WP_169152660.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012911025.1
284	WP_148609150.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008107725.1
285	WP_255912773.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024436075.1
286	WP_161047106.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009857535.1
287	WP_008171594.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000239855.1
288	WP_239852757.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_022398495.1
289	WP_269520743.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_027257845.1
290	WP_128739198.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014654565.1
291	WP_196481192.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001523615.1
292	WP_214117823.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018501175.1
293	WP_039664962.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_008801985.1
294	WP_214097457.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018476765.1
295	WP_214148539.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_018500215.1
296	WP_257401150.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024620845.1
297	WP_086256521.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002139095.1
298	WP_254971218.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_024330545.1
299	WP_264527870.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025947265.1
300	WP_040473792.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000252125.1
301	WP_008762249.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000162515.1
302	WP_195472042.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_028329005.1
303	WP_127481840.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_030011795.1
304	WP_246419510.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_014467055.1
305	WP_242827527.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000371565.1
306	WP_066358448.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_025334825.1
307	WP_200149905.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_016613445.2
308	WP_139126651.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_001729365.1
309	WP_005055078.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000368985.1
310	WP_105855590.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_031573925.1
311	WP_064990652.1 is a valid NCBI protein accession but Discarded :  No Flanking Gene was found for WP_064990652.1 in Assembly ID GCA_013170725.1
312	WP_126069227.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003952545.1
313	WP_208701151.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_003952565.1
314	WP_160860737.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_009827055.1
315	WP_168290168.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_012276475.1
316	WP_286905727.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_002706495.1
317	WP_010660245.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_000251205.1
318	WP_128368699.1 is valid as a NCBI protein accession and reported in Assembly ID GCF_004022955.1
