#Serial	Query	Assembly_Found	FlankingGene_Found
204	WP_153496581.1	Yes	Yes
205	WP_276683111.1	Yes	Yes
206	WP_039689758.1	Yes	Yes
207	WP_165062475.1	Yes	Yes
208	WP_242870405.1	Yes	Yes
209	WP_275471303.1	Yes	Yes
210	WP_113849203.1	Yes	Yes
211	WP_056961597.1	Yes	Yes
212	WP_131090772.1	Yes	Yes
213	WP_185847383.1	Yes	Yes
214	WP_144973283.1	Yes	Yes
215	WP_098772232.1	Yes	Yes
216	WP_259691644.1	Yes	Yes
217	WP_042535431.1	Yes	Yes
218	WP_099301299.1	Yes	Yes
219	WP_166010027.1	Yes	Yes
220	WP_061751580.1	Yes	Yes
221	WP_281063660.1	Yes	Yes
222	WP_023388135.1	Yes	Yes
223	WP_134700474.1	Yes	Yes
224	WP_283408293.1	Yes	Yes
225	WP_267151299.1	Yes	Yes
226	WP_112788159.1	Yes	Yes
227	WP_253287641.1	Yes	Yes
228	WP_058486220.1	Yes	Yes
229	WP_058257941.1	Yes	Yes
230	WP_027871028.1	Yes	Yes
231	WP_068912482.1	Yes	Yes
232	WP_250673363.1	Yes	Yes
233	WP_028830310.1	Yes	Yes
234	WP_026394575.1	Yes	Yes
235	WP_090306992.1	Yes	Yes
236	WP_237658943.1	Yes	Yes
237	WP_115984444.1	Yes	Yes
238	WP_257480820.1	Yes	Yes
239	WP_109689836.1	Yes	Yes
240	WP_139488102.1	Yes	Yes
241	WP_081742365.1	Yes	Yes
242	WP_090845919.1	Yes	Yes
243	WP_287537900.1	Yes	Yes
244	WP_288875892.1	Yes	Yes
245	WP_075819734.1	Yes	Yes
246	WP_216412513.1	Yes	Yes
247	WP_168676486.1	Yes	Yes
248	WP_270779142.1	Yes	Yes
249	WP_278633141.1	Yes	Yes
250	WP_195769285.1	Yes	Yes
251	WP_242620150.1	Yes	Yes
252	WP_058972177.1	Yes	Yes
253	WP_278935898.1	Yes	Yes
254	WP_058952521.1	Yes	Yes
255	WP_003593219.1	Yes	Yes
256	WP_156332548.1	Yes	Yes
257	WP_208312099.1	Yes	Yes
258	WP_251107343.1	Yes	Yes
259	WP_091774502.1	Yes	Yes
260	WP_008927333.1	Yes	Yes
261	WP_267483805.1	Yes	Yes
262	WP_092714934.1	Yes	Yes
263	WP_130961431.1	Yes	Yes
264	WP_114743552.1	Yes	Yes
265	WP_158525968.1	Yes	Yes
266	WP_279935668.1	Yes	Yes
267	WP_274704429.1	Yes	Yes
268	WP_052959397.1	Yes	Yes
269	WP_248225069.1	Yes	Yes
270	WP_097741997.1	Yes	Yes
271	WP_148531445.1	Yes	Yes
272	WP_014551819.1	Yes	Yes
273	WP_027328748.1	Yes	Yes
274	WP_190934413.1	Yes	Yes
275	WP_200404004.1	Yes	Yes
276	WP_081088116.1	Yes	Yes
277	WP_169152660.1	Yes	Yes
278	WP_148609150.1	Yes	Yes
279	WP_255912773.1	Yes	Yes
280	WP_161047106.1	Yes	Yes
281	WP_008171594.1	Yes	Yes
282	WP_239852757.1	Yes	Yes
283	WP_269520743.1	Yes	Yes
284	WP_128739198.1	Yes	Yes
285	WP_196481192.1	Yes	Yes
286	WP_214117823.1	Yes	Yes
287	WP_039664962.1	Yes	Yes
288	WP_214097457.1	Yes	Yes
289	WP_214148539.1	Yes	Yes
290	WP_257401150.1	Yes	Yes
291	WP_086256521.1	Yes	Yes
292	WP_254971218.1	Yes	Yes
293	WP_264527870.1	Yes	Yes
294	WP_040473792.1	Yes	Yes
295	WP_008762249.1	Yes	Yes
296	WP_195472042.1	Yes	Yes
297	WP_127481840.1	Yes	Yes
298	WP_246419510.1	Yes	Yes
299	WP_242827527.1	Yes	Yes
300	WP_066358448.1	Yes	Yes
301	WP_200149905.1	Yes	Yes
302	WP_139126651.1	Yes	Yes
303	WP_005055078.1	Yes	Yes
304	WP_105855590.1	Yes	Yes
305	WP_064990652.1	No: ProteinID was not found in Genome Assembly	No
306	WP_126069227.1	Yes	Yes
307	WP_208701151.1	Yes	Yes
308	WP_160860737.1	Yes	Yes
309	WP_168290168.1	Yes	Yes
310	WP_286905727.1	Yes	Yes
311	WP_010660245.1	Yes	Yes
312	WP_128368699.1	Yes	Yes
313	WP_253523639.1	Yes	Yes
314	WP_225117937.1	Yes	Yes
315	WP_235810370.1	Yes	Yes
316	WP_216500629.1	Yes	Yes
317	WP_198866304.1	Yes	Yes
318	WP_216945356.1	Yes	Yes
319	WP_103873782.1	Yes	Yes
320	WP_259988776.1	Yes	Yes
321	WP_259955292.1	Yes	Yes
322	WP_083195283.1	Yes	Yes
323	WP_159069271.1	Yes	Yes
324	WP_184711084.1	Yes	Yes
325	WP_082143552.1	Yes	Yes
326	WP_150892191.1	Yes	Yes
327	WP_279402171.1	Yes	Yes
328	WP_131578523.1	Yes	Yes
329	WP_248106329.1	Yes	Yes
330	WP_259608535.1	Yes	Yes
331	WP_286133308.1	Yes	Yes
332	WP_243677254.1	Yes	Yes
333	WP_247047222.1	Yes	Yes
334	WP_068699586.1	Yes	Yes
335	WP_087820668.1	Yes	Yes
336	WP_032273289.1	Yes	Yes
337	WP_241231019.1	Yes	Yes
338	WP_216054690.1	Yes	Yes
339	WP_140139286.1	Yes	Yes
340	WP_238849048.1	Yes	Yes
341	WP_112214321.1	Yes	Yes
342	WP_228510416.1	Yes	Yes
343	WP_054983900.1	Yes	Yes
344	WP_067891357.1	Yes	Yes
345	WP_195210401.1	Yes	Yes
346	WP_021755999.1	Yes	Yes
347	WP_139467125.1	Yes	Yes
348	WP_256275297.1	Yes	Yes
349	WP_127842173.1	Yes	Yes
350	WP_039901077.1	Yes	Yes
351	WP_187471329.1	Yes	Yes
352	WP_107810490.1	Yes	Yes
353	WP_147368180.1	Yes	Yes
354	WP_218689314.1	Yes	Yes
355	WP_111696308.1	Yes	Yes
356	WP_007025191.1	Yes	Yes
357	WP_129902407.1	Yes	Yes
358	WP_117793402.1	Yes	Yes
359	WP_140557650.1	Yes	Yes
360	WP_217957043.1	Yes	Yes
361	WP_288270710.1	Yes	Yes
362	WP_256126086.1	Yes	Yes
363	WP_087070389.1	Yes	Yes
364	WP_004128604.1	Yes	Yes
365	WP_248911794.1	Yes	Yes
366	WP_159074100.1	Yes	Yes
367	WP_161624651.1	Yes	Yes
368	WP_279056255.1	Yes	Yes
369	WP_124912357.1	Yes	Yes
370	WP_256821235.1	Yes	Yes
371	WP_074341457.1	Yes	Yes
372	WP_068207156.1	Yes	Yes
373	WP_080312267.1	Yes	Yes
374	WP_137769586.1	Yes	Yes
375	WP_195027590.1	Yes	Yes
376	WP_254900634.1	Yes	Yes
377	WP_068329446.1	Yes	Yes
378	WP_169960253.1	Yes	Yes
379	WP_080479721.1	Yes	Yes
380	WP_079758261.1	Yes	Yes
381	WP_277691438.1	Yes	Yes
382	WP_178956280.1	Yes	Yes
383	WP_284137122.1	Yes	Yes
384	WP_148494410.1	Yes	Yes
385	WP_219017024.1	Yes	Yes
386	WP_282862481.1	Yes	Yes
387	WP_064160947.1	Yes	Yes
388	WP_270204973.1	Yes	Yes
389	WP_077182844.1	Yes	Yes
390	WP_171904002.1	Yes	Yes
391	WP_088187061.1	Yes	Yes
392	WP_052036231.1	Yes	Yes
393	WP_050925328.1	Yes	Yes
394	WP_283106468.1	Yes	Yes
395	WP_076362842.1	Yes	Yes
396	WP_150578154.1	Yes	Yes
397	WP_049098437.1	Yes	Yes
398	WP_174902184.1	Yes	Yes
399	WP_115621327.1	Yes	Yes
400	WP_010516946.1	Yes	Yes
401	WP_162864689.1	Yes	Yes
402	WP_147755622.1	Yes	Yes
403	WP_015592132.1	Yes	Yes
404	WP_006597234.1	Yes	Yes
405	WP_044678147.1	Yes	Yes
406	WP_075231162.1	Yes	Yes
407	WP_148023845.1	Yes	Yes
408	WP_076707751.1	Yes	Yes
409	WP_280496272.1	Yes	Yes
410	WP_084592952.1	Yes	Yes
411	WP_196389712.1	Yes	Yes
412	WP_159024747.1	Yes	Yes
413	WP_172237742.1	Yes	Yes
414	WP_098500341.1	Yes	Yes
415	WP_230193286.1	Yes	Yes
416	WP_185879880.1	Yes	Yes
417	WP_014553288.1	Yes	Yes
418	WP_141922077.1	Yes	Yes
419	WP_080631316.1	Yes	Yes
420	WP_031830702.1	Yes	Yes
421	WP_273975955.1	Yes	Yes
422	WP_144502194.1	Yes	Yes
423	WP_197360006.1	Yes	Yes
424	WP_069479101.1	Yes	Yes
425	WP_255178606.1	Yes	Yes
426	WP_279973034.1	Yes	Yes
427	WP_256772431.1	Yes	Yes
428	WP_259763504.1	No: ProteinID was not found in Genome Assembly	No
429	WP_010606847.1	Yes	Yes
430	WP_186701866.1	Yes	Yes
431	WP_229628661.1	Yes	Yes
432	WP_233851220.1	Yes	Yes
433	WP_183897673.1	Yes	Yes
434	WP_247605352.1	Yes	Yes
435	WP_139810703.1	Yes	Yes
436	WP_263950423.1	Yes	Yes
437	WP_153690862.1	Yes	Yes
438	WP_063676229.1	Yes	Yes
439	WP_117582309.1	Yes	Yes
440	WP_244851883.1	Yes	Yes
441	WP_241245119.1	Yes	Yes
442	WP_094605941.1	Yes	Yes
443	WP_050742181.1	Yes	Yes
444	WP_002620797.1	Yes	Yes
445	WP_224575459.1	Yes	Yes
446	WP_052212111.1	Yes	Yes
447	WP_049945863.1	Yes	Yes
448	WP_121247010.1	Yes	Yes
449	WP_164755425.1	Yes	Yes
450	WP_186130195.1	Yes	Yes
451	WP_191629809.1	Yes	Yes
452	WP_077200576.1	Yes	Yes
453	WP_058081311.1	No: ProteinID was not found in Genome Assembly	No
454	WP_069113102.1	Yes	Yes
455	WP_065916210.1	Yes	Yes
456	WP_148601114.1	Yes	Yes
457	WP_168709278.1	Yes	Yes
458	WP_090587237.1	Yes	Yes
459	WP_255867032.1	Yes	Yes
460	WP_283529781.1	Yes	Yes
461	WP_051613150.1	Yes	Yes
462	WP_188491436.1	Yes	Yes
463	WP_034986568.1	Yes	Yes
464	WP_288814159.1	Yes	Yes
465	WP_112770050.1	Yes	Yes
466	WP_016459313.1	Yes	Yes
467	WP_259157640.1	Yes	Yes
468	WP_273114977.1	Yes	Yes
469	WP_020935123.1	Yes	Yes
470	WP_053412388.1	Yes	Yes
471	WP_012731419.1	Yes	Yes
472	WP_051574325.1	Yes	Yes
473	WP_091126147.1	Yes	Yes
474	WP_248258574.1	Yes	Yes
475	WP_070190166.1	Yes	Yes
476	WP_109697346.1	Yes	Yes
477	WP_131585033.1	Yes	Yes
478	WP_183595704.1	Yes	Yes
479	WP_123270727.1	Yes	Yes
480	WP_163770767.1	Yes	Yes
481	WP_115922229.1	Yes	Yes
482	WP_278044318.1	Yes	Yes
483	WP_020390618.1	Yes	Yes
484	WP_179425070.1	Yes	Yes
485	WP_121485791.1	Yes	Yes
486	WP_234304554.1	Yes	Yes
487	WP_173910227.1	Yes	Yes
488	WP_180043206.1	Yes	Yes
489	WP_243792522.1	Yes	Yes
490	WP_241178223.1	Yes	Yes
491	WP_073188218.1	Yes	Yes
492	WP_073205701.1	Yes	Yes
493	WP_218154489.1	Yes	Yes
494	WP_287045965.1	Yes	Yes
495	WP_049895778.1	Yes	Yes
496	WP_233111183.1	Yes	Yes
497	WP_290346917.1	Yes	Yes
498	WP_241306348.1	Yes	Yes
499	WP_065076684.1	Yes	Yes
500	WP_044307556.1	Yes	Yes
501	WP_276217172.1	Yes	Yes
502	WP_007934929.1	Yes	Yes
503	WP_239930634.1	Yes	Yes
504	WP_163920457.1	Yes	Yes
505	WP_252069873.1	Yes	Yes
506	WP_200924458.1	Yes	Yes
507	WP_109910726.1	Yes	Yes
508	WP_128994751.1	Yes	Yes
509	WP_025580561.1	Yes	Yes
510	WP_236319226.1	Yes	Yes
511	WP_289914732.1	Yes	Yes
512	WP_012722886.1	No: ProteinID was not found in Genome Assembly	No
513	WP_137218384.1	Yes	Yes
514	WP_168193465.1	Yes	Yes
515	WP_136809613.1	Yes	Yes
516	WP_082455151.1	Yes	Yes
517	WP_169269643.1	Yes	Yes
518	WP_081272587.1	Yes	Yes
519	WP_168265506.1	Yes	Yes
520	WP_226890445.1	Yes	Yes
521	WP_152005923.1	Yes	Yes
522	WP_213301325.1	Yes	Yes
523	WP_188380547.1	Yes	Yes
524	WP_046304945.1	Yes	Yes
525	WP_186883462.1	Yes	Yes
526	WP_015403653.1	Yes	Yes
527	WP_182322672.1	Yes	Yes
528	WP_172594549.1	Yes	Yes
529	WP_282036536.1	Yes	Yes
530	WP_054202084.1	Yes	Yes
531	WP_258626369.1	Yes	Yes
532	WP_089180648.1	Yes	Yes
533	WP_165769003.1	Yes	Yes
534	WP_133461109.1	Yes	Yes
535	WP_057421557.1	Yes	Yes
536	WP_258614751.1	Yes	Yes
537	WP_268311252.1	Yes	Yes
538	WP_055093682.1	Yes	Yes
539	WP_195993818.1	Yes	Yes
540	WP_221710602.1	Yes	Yes
541	WP_050638173.1	Yes	Yes
542	WP_221718325.1	Yes	Yes
543	WP_186208241.1	Yes	Yes
544	WP_071624058.1	Yes	Yes
545	WP_027808779.1	Yes	Yes
546	WP_095088670.1	Yes	Yes
547	WP_116570078.1	Yes	Yes
548	WP_172373857.1	Yes	Yes
549	WP_067202017.1	Yes	Yes
550	WP_277987189.1	Yes	Yes
551	WP_126267285.1	Yes	Yes
552	WP_263682861.1	Yes	Yes
553	WP_134043826.1	Yes	Yes
554	WP_086296197.1	Yes	Yes
555	WP_285256149.1	Yes	Yes
556	WP_057507828.1	Yes	Yes
557	WP_180314196.1	Yes	Yes
558	WP_133602004.1	Yes	Yes
559	WP_231392321.1	Yes	Yes
560	WP_219726489.1	Yes	Yes
561	WP_244105808.1	Yes	Yes
562	WP_198578708.1	Yes	Yes
563	WP_278673060.1	Yes	Yes
564	WP_198430633.1	Yes	Yes
565	WP_180964742.1	Yes	Yes
566	WP_081590981.1	Yes	Yes
567	WP_051420936.1	Yes	Yes
568	WP_170285638.1	Yes	Yes
569	WP_169998592.1	Yes	Yes
570	WP_259905424.1	Yes	Yes
571	WP_155418945.1	Yes	Yes
572	WP_226521039.1	Yes	Yes
573	WP_204087290.1	Yes	Yes
574	WP_249606165.1	Yes	Yes
575	WP_070669711.1	Yes	Yes
576	WP_256380917.1	Yes	Yes
577	WP_284785842.1	Yes	Yes
578	WP_083299181.1	Yes	Yes
579	WP_136206952.1	Yes	Yes
580	WP_071379584.1	Yes	Yes
581	WP_128818698.1	Yes	Yes
582	WP_101673981.1	Yes	Yes
583	WP_266317307.1	Yes	Yes
584	WP_256856367.1	Yes	Yes
585	WP_239208937.1	Yes	Yes
586	WP_224212941.1	Yes	Yes
587	WP_239307333.1	Yes	Yes
588	WP_186302206.1	Yes	Yes
589	WP_236589284.1	Yes	Yes
590	WP_005288661.1	Yes	Yes
591	WP_173736281.1	Yes	Yes
592	WP_026911031.1	Yes	Yes
593	WP_235701231.1	Yes	Yes
594	WP_052470589.1	Yes	Yes
595	WP_129134562.1	Yes	Yes
596	WP_098808778.1	Yes	Yes
597	WP_269481608.1	Yes	Yes
598	WP_165976409.1	Yes	Yes
599	WP_098435177.1	No: ProteinID was not found in Genome Assembly	No
600	WP_098838172.1	Yes	Yes
601	WP_170187003.1	Yes	Yes
602	WP_007286043.1	Yes	Yes
603	WP_228416889.1	Yes	Yes
604	WP_134114733.1	Yes	Yes
605	WP_217740331.1	Yes	Yes
606	WP_136580203.1	Yes	Yes
607	WP_107174954.1	Yes	Yes
608	WP_130241190.1	Yes	Yes
609	WP_162901873.1	Yes	Yes
610	WP_197931107.1	Yes	Yes
611	WP_138489259.1	Yes	Yes
612	WP_226253152.1	Yes	Yes
613	WP_181162766.1	Yes	Yes
614	WP_159426424.1	Yes	Yes
615	WP_208892809.1	Yes	Yes
616	WP_219258952.1	Yes	Yes
617	WP_176377179.1	Yes	Yes
618	WP_088900548.1	Yes	Yes
619	WP_139559809.1	Yes	Yes
620	WP_205352412.1	Yes	Yes
621	WP_218560844.1	Yes	Yes
622	WP_072712623.1	Yes	Yes
623	WP_182368145.1	Yes	Yes
624	WP_103894683.1	Yes	Yes
625	WP_213911331.1	Yes	Yes
626	WP_258626784.1	Yes	Yes
627	WP_193281716.1	Yes	Yes
628	WP_258284090.1	Yes	Yes
629	WP_165858548.1	No: ProteinID was not found in Genome Assembly	No
630	WP_162904211.1	No: ProteinID was not found in Genome Assembly	No
631	WP_263964730.1	Yes	Yes
632	WP_072601336.1	Yes	Yes
633	WP_170948741.1	Yes	Yes
634	WP_108167824.1	Yes	Yes
635	WP_253401220.1	Yes	Yes
636	WP_243409758.1	Yes	Yes
637	WP_162346504.1	Yes	Yes
638	WP_238790399.1	Yes	Yes
639	WP_142768304.1	No: ProteinID was not found in Genome Assembly	No
640	WP_174492720.1	Yes	Yes
641	WP_243104844.1	Yes	Yes
642	WP_287492675.1	Yes	Yes
643	WP_118409652.1	Yes	Yes
644	WP_162056569.1	Yes	Yes
645	WP_104617618.1	Yes	Yes
646	WP_080412666.1	Yes	Yes
647	WP_264879058.1	Yes	Yes
648	WP_200905042.1	Yes	Yes
649	WP_071237996.1	Yes	Yes
650	WP_279262684.1	Yes	Yes
651	WP_140277222.1	Yes	Yes
652	WP_198036652.1	Yes	Yes
653	WP_285056138.1	Yes	Yes
654	WP_221660844.1	Yes	Yes
655	WP_206225527.1	Yes	Yes
656	WP_103409025.1	Yes	Yes
657	WP_124315227.1	Yes	Yes
658	WP_257800627.1	Yes	Yes
659	WP_056320111.1	Yes	Yes
660	WP_084714025.1	Yes	Yes
661	WP_201302641.1	Yes	Yes
662	WP_255086513.1	Yes	Yes
663	WP_196734384.1	Yes	Yes
664	WP_149764841.1	Yes	Yes
665	WP_059641579.1	Yes	Yes
666	WP_257218612.1	Yes	Yes
667	WP_124636095.1	Yes	Yes
668	WP_247503807.1	Yes	Yes
669	WP_082939760.1	Yes	Yes
670	WP_060784800.1	Yes	Yes
671	WP_080689325.1	Yes	Yes
672	WP_137319504.1	Yes	Yes
673	WP_083956124.1	Yes	Yes
674	WP_188543789.1	Yes	Yes
675	WP_216657191.1	Yes	Yes
676	WP_277191281.1	Yes	Yes
677	WP_144717365.1	Yes	Yes
678	WP_100464031.1	Yes	Yes
679	WP_038631987.1	Yes	Yes
680	WP_259194601.1	Yes	Yes
681	WP_108096611.1	Yes	Yes
682	WP_222202811.1	No: ProteinID was not found in Genome Assembly	No
683	WP_242783366.1	Yes	Yes
684	WP_275317890.1	Yes	Yes
685	WP_093752900.1	Yes	Yes
686	WP_168207465.1	Yes	Yes
687	WP_194077298.1	Yes	Yes
688	WP_287053536.1	Yes	Yes
689	WP_191017048.1	Yes	Yes
690	WP_256729175.1	Yes	Yes
691	WP_187385617.1	Yes	Yes
692	WP_027727717.1	Yes	Yes
693	WP_103680227.1	Yes	Yes
694	WP_040096353.1	Yes	Yes
695	WP_203463027.1	Yes	Yes
696	WP_200467412.1	Yes	Yes
697	WP_111954244.1	Yes	Yes
698	WP_014956500.1	Yes	Yes
699	WP_173725865.1	Yes	Yes
700	WP_242971427.1	Yes	Yes
701	WP_203060574.1	Yes	Yes
702	WP_130970192.1	Yes	Yes
703	WP_025920000.1	Yes	Yes
704	WP_104041922.1	Yes	Yes
705	WP_264612888.1	Yes	Yes
706	WP_081098977.1	Yes	Yes
707	WP_105514463.1	Yes	Yes
708	WP_053315478.1	Yes	Yes
709	WP_223232586.1	Yes	Yes
710	WP_045973930.1	Yes	Yes
711	WP_199428739.1	Yes	Yes
712	WP_283597789.1	Yes	Yes
713	WP_286716155.1	Yes	Yes
714	WP_258256496.1	Yes	Yes
715	WP_271470258.1	Yes	Yes
716	WP_088619653.1	Yes	Yes
717	WP_260979412.1	Yes	Yes
718	WP_151798242.1	Yes	Yes
719	WP_114836357.1	Yes	Yes
720	WP_182811765.1	Yes	Yes
721	WP_187513548.1	Yes	Yes
722	WP_060183781.1	Yes	Yes
723	WP_043036642.1	Yes	Yes
724	WP_212743068.1	Yes	Yes
725	WP_114226582.1	Yes	Yes
726	WP_104512442.1	Yes	Yes
